YEAR,STATE_NAME,COMMODITY_DESC,STATISTICCAT_DESC,UNIT_DESC,total_cattle_value
1924,MARYLAND,CATTLE,"INVENTORY, AVG",HEAD,174
1925,MICHIGAN,CATTLE,"INVENTORY, AVG",HEAD,810
1925,"NORTH DAKOTA",CATTLE,"INVENTORY, AVG",HEAD,489
1926,IDAHO,CATTLE,"INVENTORY, AVG",HEAD,160
1926,MARYLAND,CATTLE,"INVENTORY, AVG",HEAD,171
1926,MISSISSIPPI,CATTLE,"INVENTORY, AVG",HEAD,375
1926,"NORTH DAKOTA",CATTLE,"INVENTORY, AVG",HEAD,480
1926,TEXAS,CATTLE,"INVENTORY, AVG",HEAD,1
1926,WISCONSIN,CATTLE,"INVENTORY, AVG",HEAD,1
1927,NEBRASKA,CATTLE,"CALF CROP",HEAD,195
1927,NEBRASKA,CATTLE,"INVENTORY, AVG",HEAD,626
1928,NEBRASKA,CATTLE,"CALF CROP",HEAD,26
1928,TENNESSEE,CATTLE,"INVENTORY, AVG",HEAD,429
1928,WASHINGTON,CATTLE,"INVENTORY, AVG",HEAD,261
1929,NEBRASKA,CATTLE,"CALF CROP",HEAD,30
1929,"NEW JERSEY",CATTLE,"INVENTORY, AVG",HEAD,113
1929,PENNSYLVANIA,CATTLE,"INVENTORY, AVG",HEAD,808
1929,VIRGINIA,CATTLE,"INVENTORY, AVG",HEAD,355
1930,ARKANSAS,CATTLE,"INVENTORY, AVG",HEAD,349
1930,NEBRASKA,CATTLE,"CALF CROP",HEAD,89
1930,"NEW HAMPSHIRE",CATTLE,"INVENTORY, AVG",HEAD,75
1930,"NEW YORK",CATTLE,"INVENTORY, AVG",HEAD,1
1930,PENNSYLVANIA,CATTLE,"INVENTORY, AVG",HEAD,828
1930,"WEST VIRGINIA",CATTLE,"INVENTORY, AVG",HEAD,202
1931,ARKANSAS,CATTLE,"INVENTORY, AVG",HEAD,373
1931,IDAHO,CATTLE,"INVENTORY, AVG",HEAD,184
1931,MAINE,CATTLE,"INVENTORY, AVG",HEAD,139
1931,MONTANA,CATTLE,"INVENTORY, AVG",HEAD,184
1931,NEBRASKA,CATTLE,"CALF CROP",HEAD,36
1931,"NORTH DAKOTA",CATTLE,"INVENTORY, AVG",HEAD,560
