YEAR,STATE_NAME,COMMODITY_DESC,STATISTICCAT_DESC,UNIT_DESC,total_value
1944,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,1782
1944,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1036
1945,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,1823
1945,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",802
1946,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,988
1946,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1018
1947,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,2004
1947,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",315
1948,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,1508
1948,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",160
1949,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,1301
1949,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",921
1950,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,655
1950,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",910
1951,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,2342
1951,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",2665
1952,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,2046
1952,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1074
1953,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,872
1953,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",984
1954,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,1359
1954,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",2073
1955,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,1257
1955,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1024
1956,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,1151
1956,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",952
1957,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,318
1957,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1810
1958,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,1377
1958,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",856
1959,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,634
1959,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1505
1960,GEORGIA,CHICKENS,"EGGS SET",EGGS,479
1960,LOUISIANA,CHICKENS,PLACEMENTS,HEAD,21
1960,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,2012
1960,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",2011
1960,OREGON,CHICKENS,PLACEMENTS,HEAD,12
1960,"US TOTAL",CHICKENS,"CONDEMNED, ANTE-MORTEM","LB, LIVE BASIS",12
1961,FLORIDA,CHICKENS,"EGGS SET",EGGS,20
1961,MARYLAND,CHICKENS,"EGGS SET",EGGS,170
1961,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,1080
1961,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1081
1961,MISSISSIPPI,CHICKENS,PLACEMENTS,HEAD,139
1961,"NORTH CAROLINA",CHICKENS,PLACEMENTS,HEAD,191
1961,"US TOTAL",CHICKENS,SLAUGHTERED,"LB, LIVE BASIS",6
1962,FLORIDA,CHICKENS,PLACEMENTS,HEAD,11
1962,INDIANA,CHICKENS,PLACEMENTS,HEAD,33
1962,MARYLAND,CHICKENS,"EGGS SET",EGGS,177
1962,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,1164
1962,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1097
1962,"US TOTAL",CHICKENS,PRODUCTION,LB,268
1962,"US TOTAL",CHICKENS,SLAUGHTERED,"LB / HEAD, LIVE BASIS",3.42
1963,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,763
1963,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",2015
1963,VIRGINIA,CHICKENS,PLACEMENTS,HEAD,45
1964,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,662
1964,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",2087
1964,OREGON,CHICKENS,"EGGS SET",EGGS,17
1964,TEXAS,CHICKENS,"EGGS SET",EGGS,194
1964,WASHINGTON,CHICKENS,PLACEMENTS,HEAD,20
1965,CALIFORNIA,CHICKENS,PLACEMENTS,HEAD,63
1965,FLORIDA,CHICKENS,"EGGS SET",EGGS,16
1965,GEORGIA,CHICKENS,"EGGS SET",EGGS,586
1965,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,638
1965,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1964
1965,"WEST VIRGINIA",CHICKENS,PLACEMENTS,HEAD,18
1966,INDIANA,CHICKENS,"EGGS SET",EGGS,37
1966,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,569
1966,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1762
1966,"US TOTAL",CHICKENS,PRODUCTION,LB,342
1966,"US TOTAL",CHICKENS,SLAUGHTERED,"LB, LIVE BASIS",7
1967,ARKANSAS,CHICKENS,"EGGS SET",EGGS,499
1967,CONNECTICUT,CHICKENS,"EGGS SET",EGGS,16
1967,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,151
1967,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1351
1967,"US TOTAL",CHICKENS,PRODUCTION,LB,5
1967,"WEST VIRGINIA",CHICKENS,"EGGS SET",EGGS,7
1968,,CHICKENS,"EGGS SET",EGGS,3
1968,ARKANSAS,CHICKENS,PLACEMENTS,HEAD,376
1968,CONNECTICUT,CHICKENS,PLACEMENTS,HEAD,7
1968,FLORIDA,CHICKENS,PLACEMENTS,HEAD,37
1968,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,909
1968,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1576
1968,"SOUTH CAROLINA",CHICKENS,PLACEMENTS,HEAD,20
1969,DELAWARE,CHICKENS,"EGGS SET",EGGS,143
1969,GEORGIA,CHICKENS,"EGGS SET",EGGS,621
1969,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,1105
1969,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",862
1969,PENNSYLVANIA,CHICKENS,PLACEMENTS,HEAD,52
1969,"US TOTAL",CHICKENS,"CONDEMNED, ANTE-MORTEM","PCT OF SLAUGHTER",0.41
1969,"US TOTAL",CHICKENS,"CONDEMNED, POST-MORTEM","PCT OF LB CERTIFIED & POST-MORTEM CONDEMNED",5.43
1970,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,799
1970,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",680
1970,OREGON,CHICKENS,PLACEMENTS,HEAD,15
1970,"US TOTAL",CHICKENS,"CONDEMNED, ANTE-MORTEM","LB, LIVE BASIS",59
1970,"US TOTAL",CHICKENS,"CONDEMNED, ANTE-MORTEM","PCT OF SLAUGHTER",0.48
1971,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,936
1971,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",494
1972,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,932
1972,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1330
1973,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,785
1973,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1792
1974,ILLINOIS,CHICKENS,"INVENTORY, AVG",HEAD,1371
1974,ILLINOIS,CHICKENS,"RATE OF LAY","EGGS / LAYER",2741
1974,KENTUCKY,CHICKENS,"INVENTORY, AVG",HEAD,910
1974,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,349
1974,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1215
1974,TEXAS,CHICKENS,PRODUCTION,HEAD,162
1974,"US TOTAL",CHICKENS,PRODUCTION,LB,717
1974,"US TOTAL",CHICKENS,SLAUGHTERED,HEAD,193
1974,"WEST VIRGINIA",CHICKENS,"INVENTORY, AVG",HEAD,19
1974,"WEST VIRGINIA",CHICKENS,"RATE OF LAY","EGGS / LAYER",926
1975,,CHICKENS,PLACEMENTS,HEAD,2
1975,ALABAMA,CHICKENS,"EGGS SET",EGGS,494
1975,ILLINOIS,CHICKENS,"INVENTORY, AVG",HEAD,1497
1975,ILLINOIS,CHICKENS,"RATE OF LAY","EGGS / LAYER",1410
1975,KENTUCKY,CHICKENS,"INVENTORY, AVG",HEAD,292
1975,KENTUCKY,CHICKENS,"RATE OF LAY","EGGS / LAYER",219
1975,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,254
1975,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1381
1975,PENNSYLVANIA,CHICKENS,PLACEMENTS,HEAD,68
1975,TEXAS,CHICKENS,PRODUCTION,HEAD,32
1975,"US TOTAL",CHICKENS,PRODUCTION,LB,7
1975,"WEST VIRGINIA",CHICKENS,"INVENTORY, AVG",HEAD,72
1975,"WEST VIRGINIA",CHICKENS,"RATE OF LAY","EGGS / LAYER",458
1976,DELAWARE,CHICKENS,"EGGS SET",EGGS,202
1976,FLORIDA,CHICKENS,"EGGS SET",EGGS,93
1976,ILLINOIS,CHICKENS,"INVENTORY, AVG",HEAD,85
1976,ILLINOIS,CHICKENS,"RATE OF LAY","EGGS / LAYER",1378
1976,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,344
1976,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",2395
1976,TEXAS,CHICKENS,PRODUCTION,HEAD,1062
1976,"WEST VIRGINIA",CHICKENS,"INVENTORY, AVG",HEAD,19
1976,"WEST VIRGINIA",CHICKENS,"RATE OF LAY","EGGS / LAYER",924
1977,ILLINOIS,CHICKENS,"INVENTORY, AVG",HEAD,150
1977,ILLINOIS,CHICKENS,"RATE OF LAY","EGGS / LAYER",1684
1977,KENTUCKY,CHICKENS,"INVENTORY, AVG",HEAD,1916
1977,KENTUCKY,CHICKENS,"RATE OF LAY","EGGS / LAYER",451
1977,MAINE,CHICKENS,PLACEMENTS,HEAD,89
1977,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,255
1977,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1434
1977,"NORTH CAROLINA",CHICKENS,"EGGS SET",EGGS,451
1977,"US TOTAL",CHICKENS,PRODUCTION,LB,1516
1977,"US TOTAL",CHICKENS,SLAUGHTERED,"LB, LIVE BASIS",827
1978,ILLINOIS,CHICKENS,"INVENTORY, AVG",HEAD,734
1978,ILLINOIS,CHICKENS,"RATE OF LAY","EGGS / LAYER",943
1978,MAINE,CHICKENS,"EGGS SET",EGGS,112
1978,MAINE,CHICKENS,PLACEMENTS,HEAD,90
1978,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,200
1978,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1689
1978,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,1703
1978,PENNSYLVANIA,CHICKENS,PRODUCTION,HEAD,1124
1978,"SOUTH CAROLINA",CHICKENS,"EGGS SET",EGGS,51
1978,TEXAS,CHICKENS,PRODUCTION,HEAD,26
1978,"US TOTAL",CHICKENS,"CONDEMNED, POST-MORTEM","LB, DRESSED BASIS",260
